detect T,t_detect,keypoints,descr T,t_extract,matches,t_match
SHITOMASI,27.4586,127,BRIEF,2.29587,1,6.90575e-307
SHITOMASI,26.4111,120,BRIEF,2.03288,118,0.491057
SHITOMASI,24.433,123,BRIEF,1.17291,111,0.332551
SHITOMASI,19.8951,120,BRIEF,2.77335,104,0.348097
SHITOMASI,24.933,120,BRIEF,2.16947,101,0.330691
SHITOMASI,22.6601,115,BRIEF,1.10942,104,0.313687
SHITOMASI,19.3785,114,BRIEF,2.22261,102,0.286467
SHITOMASI,25.3412,125,BRIEF,2.28904,101,0.330431
SHITOMASI,22.0955,112,BRIEF,1.08063,110,0.346092
SHITOMASI,20.4522,113,BRIEF,2.34875,102,0.325621
SHITOMASI,22.7671,127,ORB,6.98371,102,0.325621
SHITOMASI,17.7011,120,ORB,7.13079,106,0.307591
SHITOMASI,19.8599,123,ORB,6.84211,103,0.306014
SHITOMASI,24.0906,120,ORB,6.83332,100,0.344281
SHITOMASI,21.5702,120,ORB,8.0138,102,0.307003
SHITOMASI,19.4208,115,ORB,7.17113,104,0.26976
SHITOMASI,24.1591,114,ORB,7.86576,98,0.314079
SHITOMASI,21.8322,125,ORB,6.90139,99,0.321264
SHITOMASI,20.2046,112,ORB,6.84368,103,0.36343
SHITOMASI,24.3219,113,ORB,7.90551,99,0.315277
SHITOMASI,21.8407,127,FREAK,66.0277,99,0.315277
SHITOMASI,17.3772,120,FREAK,65.4539,84,0.512514
SHITOMASI,19.7711,123,FREAK,69.6403,84,0.342658
SHITOMASI,22.523,120,FREAK,64.6096,80,0.378294
SHITOMASI,17.5335,120,FREAK,68.4431,81,1.54396
SHITOMASI,19.1314,115,FREAK,64.7675,83,0.431356
SHITOMASI,18.1835,114,FREAK,64.4233,75,0.439306
SHITOMASI,17.6504,125,FREAK,64.9174,75,0.448401
SHITOMASI,18.6057,112,FREAK,64.4482,81,0.433408
SHITOMASI,17.8123,113,FREAK,64.5326,79,0.403944
SHITOMASI,17.6853,127,SIFT,22.0394,79,0.403944
SHITOMASI,17.9879,120,SIFT,20.9506,115,0.529203
SHITOMASI,17.6365,123,SIFT,20.7149,108,2.00815
SHITOMASI,17.8235,120,SIFT,32.2084,103,0.568959
SHITOMASI,17.5234,120,SIFT,33.7633,103,0.328255
SHITOMASI,19.3799,115,SIFT,32.8132,103,0.338154
SHITOMASI,17.5013,114,SIFT,32.7901,104,0.322339
SHITOMASI,17.9334,125,SIFT,32.7865,97,0.318122
SHITOMASI,18.2417,112,SIFT,32.5918,110,0.353015
SHITOMASI,17.4418,113,SIFT,34.2359,103,0.271304
HARRIS,17.3009,17,BRIEF,0.572823,103,0.271304
HARRIS,16.7943,14,BRIEF,0.516925,14,0.19811
HARRIS,17.385,18,BRIEF,0.590831,11,0.222818
HARRIS,17.0935,21,BRIEF,0.561303,15,0.202289
HARRIS,17.7739,26,BRIEF,0.606111,20,0.184064
HARRIS,36.7941,43,BRIEF,0.717512,24,0.21071
HARRIS,16.3858,18,BRIEF,0.590606,26,0.323177
HARRIS,20.4981,31,BRIEF,0.634795,16,0.166295
HARRIS,20.7006,26,BRIEF,0.600404,24,0.273661
HARRIS,25.0197,34,BRIEF,0.633726,23,0.193714
HARRIS,17.1552,17,ORB,6.58713,23,0.193714
HARRIS,16.6526,14,ORB,6.56593,12,0.194288
